# Wind speed (m/s) 	 Rotor rotational speed (rpm) 	 Pitch angle (deg) 	 Rotor electrical power (W) 	 Rotor aerodynamic power (W) 	 Rotor thrust (N) 	 Rotor aerodynamic torque (Nm) 	 Blade root flapwise moment (Nm)	 Rotor electrical power coefficient (-) 	 Rotor aerodynamic power coefficient (-) 	 Rotor thrust coefficient (-) 	 Rotor aerodynamic torque coefficient
8.681202098597655237e+00	7.532122174798224989e+00	0.000000000000000000e+00	5.236938939083886333e+06	5.547604808351574466e+06	1.090363171083931811e+06	7.033306473894301802e+06	2.322785679680415615e+07	4.297950236450623351e-01	4.552913386070575608e-01	7.768459631292186085e-01	5.093461180114314257e-02
8.858512398089121831e+00	7.685962947475955431e+00	0.000000000000000000e+00	5.564425113697675057e+06	5.894518128917029127e+06	1.135358551069433102e+06	7.323545823259670287e+06	2.418638719340773672e+07	4.297950236450622241e-01	4.552913386070574497e-01	7.768459631292184975e-01	5.093461180114312870e-02
9.071660836656455729e+00	7.870898174466694819e+00	0.000000000000000000e+00	5.975831242716959678e+06	6.330329706267965958e+06	1.190652560427471297e+06	7.680215714814104140e+06	2.536430787630540505e+07	4.297950236450621686e-01	4.552913386070573942e-01	7.768459631292188305e-01	5.093461180114312176e-02
9.320174171462710433e+00	8.086517253318644904e+00	0.000000000000000000e+00	6.480522085937382653e+06	6.864959836798075587e+06	1.256780684080847073e+06	8.106770254193324596e+06	2.677302620722171292e+07	4.297950236450620576e-01	4.552913386070572832e-01	7.768459631292187195e-01	5.093461180114311482e-02
9.603500640757387075e+00	8.332341455755592818e+00	0.000000000000000000e+00	7.089679768238854595e+06	7.510253991778448224e+06	1.334352519374504453e+06	8.607141603695504367e+06	2.842552835462564230e+07	4.297950236450622241e-01	4.552913386070574497e-01	7.768459631292188305e-01	5.093461180114313563e-02
9.921011188925479729e+00	8.607824990573373469e+00	0.000000000000000000e+00	7.816381142928684130e+06	8.280064770051572472e+06	1.424043708594441414e+06	9.185687943595040590e+06	3.033620743328959495e+07	4.297950236450620576e-01	4.552913386070572832e-01	7.768459631292187195e-01	5.093461180114312176e-02
1.027200086314826777e+01	8.676358514928423915e+00	-1.956670500755868514e-01	8.690612606972049922e+06	9.206157422639884055e+06	1.508264134576238459e+06	1.013239914999548346e+07	3.206188301129810140e+07	4.305352571825933339e-01	4.560754843035946804e-01	7.675219106210823261e-01	5.241014814335516470e-02
1.065569037857486379e+01	8.676358514928423915e+00	-7.569470584501294397e-01	9.716655499206602573e+06	1.029306726610868983e+07	1.617932436990419403e+06	1.132866420049328916e+07	3.434375824362278730e+07	4.312166284857749665e-01	4.567972759383209791e-01	7.651043465732967341e-01	5.445386498659920971e-02
1.075773634661878297e+01	8.676358514928423915e+00	-7.569470584501294397e-01	1.000000000000000000e+07	1.059322033898317814e+07	1.635212159954188624e+06	1.165901600753309391e+07	3.467361429316077381e+07	4.312814548897935252e-01	4.568659479764762277e-01	7.586750258934150670e-01	5.498361601286071848e-02
1.151769067591277995e+01	8.676358514928423915e+00	4.587884327665301853e+00	9.999999661521637812e+06	1.059321998042546399e+07	1.249271941291091498e+06	1.165901561290048808e+07	2.552136031768356636e+07	3.514206079661298388e-01	3.722675931844595665e-01	5.056495638932977377e-01	4.796718743724723982e-02
